HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4101.20","1","Whole hides and skins, unsplit, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when dry-salted, or 16 kg when fresh, wet-salted or otherwise preserved:","","","","","",""
"4101.20.10","2","Not pretanned","","Free","","10%","",""
"4101.20.10.10","3","Of bovine animals","[""pcs"",""kg""]","","","","",""
"4101.20.10.20","3","Of equine animals","[""pcs"",""kg""]","","","","",""
"","2","Other:","","","","","",""
"","3","Of bovine animals (including buffalo):","","","","","",""
"","4","Of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4101.20.20.00","5","Upper and lining","[""pcs""]","Free","","15%","",""
"4101.20.30.00","5","Other","[""pcs""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"","4","Other:","","","","","",""
"4101.20.35.00","5","Of buffalo","[""pcs""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","5","Other:","","","","","",""
"4101.20.40.00","6","Vegetable pretanned","[""pcs""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4101.20.50.00","6","Other","[""pcs""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4101.20.70.00","3","Other","[""pcs"",""kg""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4101.50","1","Whole hides and skins, of a weight exceeding 16 kg:","","","","","",""
"4101.50.10","2","Not pretanned","","Free","","10%","",""
"","3","Of bovine animals:","","","","","",""
"4101.50.10.10","4","Cattle","[""pcs"",""kg""]","","","","",""
"4101.50.10.20","4","Other","[""pcs"",""kg""]","","","","",""
"4101.50.10.91","3","Of equine animals","[""pcs"",""kg""]","","","","",""
"","2","Other:","","","","","",""
"","3","Of bovine animals (including buffalo):","","","","","",""
"","4","Of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4101.50.20.00","5","Upper and lining","[""pcs""]","Free","","15%","",""
"4101.50.30.00","5","Other","[""pcs""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"","4","Other:","","","","","",""
"4101.50.35.00","5","Of buffalo","[""pcs""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","5","Other:","","","","","",""
"4101.50.40.00","6","Vegetable pretanned","[""pcs""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4101.50.50.00","6","Other","[""pcs""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4101.50.70.00","3","Other","[""pcs""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4101.90","1","Other, including butts, bends and bellies:","","","","","",""
"4101.90.10","2","Not pretanned","","Free","","10%","",""
"","3","Of bovine animals:","","","","","",""
"","4","Fresh or wet-salted:","","","","","",""
"4101.90.10.10","5","Butts and bends","[""pcs"",""kg""]","","","","",""
"4101.90.10.20","5","Other","[""pcs"",""kg""]","","","","",""
"4101.90.10.30","4","Other","[""pcs"",""kg""]","","","","",""
"4101.90.10.40","3","Of equine animals","[""pcs"",""kg""]","","","","",""
"","2","Other:","","","","","",""
"","3","Of bovine animals (including buffalo):","","","","","",""
"4101.90.35.00","4","Of buffalo","[""pcs""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","4","Other:","","","","","",""
"4101.90.40.00","5","Vegetable pretanned","[""pcs""]","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4101.90.50.00","5","Other","[""pcs""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4101.90.70.00","3","Other","[""pcs""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4102","0","Raw skins of sheep or lambs (fresh, or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment- dressed or further prepared), whether or not with wool on or split, other than those excluded by note 1(c) to this chapter:","","","","","",""
"4102.10","1","With wool on:","","","","","",""
"4102.10.10.00","2","Not pretanned","[""pcs"",""kg""]","Free","","Free","",""
"","2","Other:","","","","","",""
"4102.10.20.00","3","Vegetable pretanned","[""pcs"",""kg""]","Free","","10%","",""
"4102.10.30.00","3","Other","[""pcs"",""kg""]","2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"","1","Without wool on:","","","","","",""
"4102.21.00","2","Pickled","","Free","","Free","",""
"4102.21.00.65","3","Not split","[""pcs"",""kg""]","","","","",""
"4102.21.00.95","3","Other","[""pcs"",""kg""]","","","","",""
"4102.29","2","Other:","","","","","",""
"4102.29.10","3","Not pretanned","","Free","","Free","",""
"4102.29.10.10","4","Hair sheep and cabretta skins","[""pcs"",""kg""]","","","","",""
"4102.29.10.90","4","Other","[""pcs"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"4102.29.20.00","4","Vegetable pretanned","[""pcs"",""kg""]","Free","","10%","",""
